id_projeto,titulo,situacao,unidade_lista,sigla_unidade_lista,score_bm25,score_dense,score_rrf
1314,SETTIMANA DELLA CULTURA ITALIANA NEL MONDO,Concluído,Departamento de Linguas e Letras,DLL/CCHN,10.683238221965073,0.827193,0.002281534820806355
3034,CENTROS COLABORADORES DE APOIO AO MONITORAMENTO E À GESTÃO DE PROGRAMAS EDUCACIONAIS CECAMPE-UFU,Aguardando envio de relatório,"Departamento de Educação, Política e Sociedade",DEPS/CE,10.035492653637402,0.83409536,0.002279817470005097
2724,EDUCAÇÃO AMBIENTAL E POLÍTICAS PÚBLICAS,Concluído,Diretoria de Inovação e Divulgação da Ciência,DIDC/PROEX,10.756007587338583,0.8258289,0.0022795616320796176
4782,IV Semana Acadêmica de Matemática da UFES/Alegre (IV SEMAT - UFES/Alegre),Concluído,Departamento de Matemática Pura e Aplicada,DMPA/CCENS,7.48716755133259,0.8408844,0.002277934321754931
286,LABORATÓRIO DE PRÁTICAS CORPORAIS INTEGRATIVAS (LAPCI),Ativo,Departamento de Ginástica,DG/CEFD,10.245490028054125,0.8328153,0.00227755498177956
5289,REVISÃO DO PLANO MUNICIPAL DE SANEAMENTO BÁSICO E GESTÃO INTEGRADA DE RESÍDUOS SÓLIDOS DO MUNICÍPIO DE BARRA DE SÃO FRANCISCO/ES,Ativo,Departamento de Engenharia Ambiental,DEA/CT,10.493340322781059,0.8307042,0.002274547193738452
223,Laboratório de Análise Funcional e Ajudas Técnicas da UFES - LAFATec UFES,Ativo,Departamento de Terapia Ocupacional,DTO/CCS,8.575211086448427,0.8395106,0.0022709546353231395
492,ESTÁGIO NO SETOR DE AGUDOS DO SERVIÇO DE NEFROLOGIA DO HUCAM,Ativo,Departamento de Clínica Médica,DCM/CCS,8.602736296738536,0.8393724,0.002269777146947144
3323,Práticas e processos da pintura,Inadimplente,Departamento de Artes Visuais,DAV/CAr,7.466086328986021,0.84088784,0.0022692189408122015
1689,Projeto: Saúde em Movimento frente ao Coronavírus,Concluído,Unidade do Sistema Neuro-Músculo-Esquelético,UNME/STESP/DGC/GAS/SUP/HU,8.432986467127723,0.8397715,0.0022666970616367693
1647,Vida acima do lucro: divulgação científica em tempos de coronavírus,Concluído,Departamento de Ciências Sociais,DCS/CCHN,6.701088530293275,0.84188086,0.0022665150247893166
2438,Frutas para todos,Ativo,Departamento de Agronomia,DA/CCAE,10.751111469389425,0.8252845,0.0022650362228707945
5019,Laboratório de Gestão de Projetos e Infraestrutura - LaGePIn: Integração e Capacitação Multidisciplinar em Projetos de Edificações,Ativo,Diretoria de Planejamento Físico,DPF/SI,7.382394852070747,0.84104574,0.0022639007472666966
